,club,ratings
28,Barcelona,729.0648561883991
27,Real Madrid,660.949182688455
26,Ath Madrid,511.2091787389845
25,Sevilla,138.55478755729655
24,Ath Bilbao,72.5451063406199
22,Valencia,44.1766081848441
23,Sociedad,77.86662291760877
21,Villarreal,555.8957592965903
20,Malaga,-70.26089329884007
19,Celta,-121.00981623147709
18,Espanol,-110.4161604433948
17,Vallecano,138.21975067891935
14,Levante,121.82710625283471
13,Getafe,79.35948692306715
16,Granada,-317.83287688340215
15,Betis,95.01610884148886
11,Eibar,332.8883057635328
12,La Coruna,104.73361217427669
9,Las Palmas,307.5288494227523
10,Osasuna,92.25095590871751
7,Valladolid,309.7038842812026
8,Elche,317.8059370858798
5,Sp Gijon,204.45014769297802
6,Almeria,206.98955014610624
4,Alaves,361.42752671665977
3,Mallorca,148.3648336631856
1,Zaragoza,117.07293433060005
2,Leganes,145.1054713836756
0,Cordoba,4.513183678436292
